Dia ternganga. 	 دي ترڠاڠا.
Jenin berwajah durja, tunduk menekur meja kayu. 	 جنين برواجه دورجا، توندوق منكور ميجا كايو.
Tetapi kita mampu! Nadim memetik jari. 	 تتاڤي كيت ممڤو! نديم ممتيق جاري.
Terus dia memandang Nirnama dan Cendana. 	 تروس دي ممندڠ نيرنام دان چندانا.
Bukan?  Nirnama mengangguk. 	 بوكن؟  نيرنام مڠڠڬوق.
Burung gagak memang sering menjadi alat kepada ahli-ahli sihir ternama. 	 بوروڠ ڬاڬق ميمڠ سريڠ منجادي الت كڤد اهلي٢ سيحير ترنام.
Jagat Suci sering diiringi dua ekor gagak. 	 جاڬت سوچي سريڠ دإيريڠي دوا ايكور ڬاڬق.
Benar! Nadim bagai baru teringat. 	 بنر! نديم باڬاي بارو ترايڠت.
Engkau pernah bertemu Jagat Suci? Cendana mencelah. 	 اڠكاو ڤرنه برتمو جاڬت سوچي؟ چندانا منچله.
Dia pernah datang melawat Istana Bagak Durjana. 	 دي ڤرنه داتڠ ملاوت ايستان باڬق دورجان.
Tetapi sudah lama. 	 تتاڤي سوده لاما.
Aku pun masih terlalu kecil ketika itu. 	 اكو ڤون ماسيه ترلالو كچيل كتيک ايت.
Sekadar memandang dari jauh di tengah-tengah lautan manusia yang berkumpul bagi menyatakan janji setia kepadanya. 	 سقدر ممندڠ دري جاءوه دتڠه-تڠه لاوتن ماءنسي يڠ بركومڤول باڬي مڽاتاكن جنجي ستيا كڤدڽ.
Jagat Suci sempat mempamerkan kesaktiannya. 	 جاڬت سوچي سمڤت ممڤاميركن كسقتينڽ.
Sihir. 	 سيحير.
Nirnama membetulkan. 	 نيرنام ممبتولكن.
Sihir. 	 سيحير.
Nadim tersengih-sengih. 	 نديم ترسڠيه-سڠيه.
Gagaknya itu boleh berubah menjadi senjata, boleh menjadi barangan indah. 	 ڬاڬقڽ ايت بوليه براوبه منجادي سنجات، بوليه منجادي بارڠن اينده.
Dia bagaikan mengawal makhluk itu! Nadim cuba mengeluarkan ingatannya sambil menggayakan dengan tangan. 	 دي باڬايكن مڠاول مخلوق ايت! نديم چوبا مڠلواركن ايڠتنڽ سمبيل مڠڬاياكن دڠن تاڠن.
Engkau sudah lapang selama seminggu. 	 اڠكاو سوده لاڤڠ سلاما سميڠڬو.
Segala keperluanmu, kakakmu dan gerai kalian telah ditampung pemberian kami. 	 سڬالا كڤرلوانمو، كاكقمو دان ڬراي كالين تله دتمڤوڠ ڤمبرين كامي.
Apa kata engkau menyertai usaha untuk menyiasat Putera Serapi? Mungkin kita benar-benar mampu mengusahakan sesuatu yang baik bagi Kerajaan Serawa? Cendana mencadangkan. 	 اڤ كات اڠكاو مڽرتاي اوسها اونتوق مڽياست ڤوترا سراڤي؟ موڠكين كيت بنر٢ ممڤو مڠأوسهاكن سسواتو يڠ باءيق باڬي كراجاءن سراوا؟ چندانا منچادڠكن.
Wajah Jenin terus berubah. 	 واجه جنين تروس براوبه.
Matanya bulat, senyumnya lebar. 	 ماتڽ بولت، سڽومڽ ليبر.
Apakah benar?  Cendana memandang kepada Nirnama. 	 اڤاكه بنر؟  چندانا ممندڠ كڤد نيرنام.
Kami sebagai perantau yang baru tiba, tidak arif selok-belok Kerajaan Serawa. 	 كامي سباڬاي ڤرانتاو يڠ بارو تيبا، تيدق عاريف سيلوق-بيلوق كراجاءن سراوا.
Ada baiknya juga engkau bersama kami sebagai petunjuk jalan. 	 اد باءيقڽ جوݢ اڠكاو برسام كامي سباڬاي ڤتونجوق جالن.
Seakan impianku bakal menjadi kenyataan! Jenin berdiri mengacung penumbuk, bangga bersulam gembira. 	 سأكن ايمڤينكو باكل منجادي كڽاتاءن! جنين برديري مڠاچوڠ ڤنومبوق، بڠݢ برسولم ڬمبيرا.
Nadim tertawa seraya menggeleng. 	 نديم ترتاوا سرايا مڠڬيليڠ.
Kita perlu berbincang apa perancangan kita untuk menyiasat latar Putera Serapi. 	 كيت ڤرلو بربينچڠ اڤ ڤرانچڠن كيت اونتوق مڽياست لاتر ڤوترا سراڤي.
Aku ada buah fikir yang boleh dipertimbangkan. 	 اكو اد بواه فيكير يڠ بوليه دڤرتيمبڠكن.
Dia memandang semua di meja itu. 	 دي ممندڠ سموا دميجا ايت.
Jenin kembali duduk. 	 جنين كمبالي دودوق.
Silakan, wahai Sang Kancil otak bergeliga. 	 سيلاكن، واهاي سڠ كنچيل اوتق برڬليݢ.
Nirnama menepuk lembut bahu Nadim. 	 نيرنام منڤوق لمبوت باهو نديم.
Semua tertawa. 	 سموا ترتاوا.
Alam masih bergelap. 	 عالم ماسيه برڬلڤ.
Kesejukan ibarat selimut dingin yang menusuk sum-sum. 	 كسجوقن عبارت سليموت ديڠين يڠ منوسوق سوم٢.
Kebanyakan penghuni Perkampungan Buntal masih lena. 	 كباڽقن ڤڠهوني ڤركامڤوڠن بونتل ماسيه لينا.
Sepertiga terakhir malam, saat ramai di dasar mimpi, ada insan yang telah bangkit buat beberapa ketika. 	 سڤرتيݢ تراخير مالم، ساعت راماي دداسر ميمڤي، اد انسان يڠ تله بڠكيت بوات ببراڤ كتيک.
Tidak menghiraukan kesejukan suasana, dia membersihkan diri sekadarnya, meredah kepekatan malam tanpa memerlukan pelita, mengambil wudhu’ di Sungai Buntal. 	 تيدق مڠهيراوكن كسجوقن سواسان، دي ممبرسيهكن ديري سقدرڽ، مرده كڤكتن مالم تنڤا ممرلوكن ڤليتا، مڠمبيل وضوء دسوڠاي بونتل.
Dia kembali dalam keadaan anggota-anggota wudhu’nya masih basah, lalu membentangkan sehelai kain di hadapan rumah Jenin. 	 دي كمبالي دالم كأداءن اڠڬوتا٢ وضوءڽ ماسيه باسه، لالو ممبنتڠكن سهلاي كاءين دهادڤن رومه جنين.
Kain itu dikeluarkan dari bungkusan yang sering dibawanya ke mana-mana. 	 كاءين ايت دكلواركن دري بوڠكوسن يڠ سريڠ دباواڽ كمانا-مان.
Dibentang menghadap ke satu arah. 	 دبنتڠ مڠهادڤ كساتو اره.
Di atas kain itulah dia beribadah sehingga sekarang. 	 دأتس كاءين ايتله دي برعباده سهيڠݢ سكارڠ.
Dua rakaat, dua rakaat. 	 دوا ركعة، دوا ركعة.
Setiap rakaat panjangnya bagai menunaikan satu solat fardhu empat rakaat. 	 ستياڤ ركعة ڤنجڠڽ باڬاي منونايكن ساتو صلاة فرض امڤت ركعة.
Pelita-pelita di hadapan rumah renta lagi usang milik Jenin dan Jelita menyimbahkan remang-remang cahaya ke sebahagian tubuhnya. 	 ڤليتا٢ دهادڤن رومه رنتا لاڬي اوسڠ ميليق جنين دان جليتا مڽيمبهكن رماڠ٢ چهاي كسبهاڬين توبوهڽ.
Dia khusyuk beribadah sementara Nadim dan Jenin sama-sama belayar ke pulau kapuk, lena di anjung. 	 دي خشوع برعباده سمنتارا نديم دان جنين سام٢ بلاير كڤولاو كاڤوق، لينا دأنجوڠ.
Jenin tidak tidur di dalam rumah kerana memberikan keselesaan kepada Cendana untuk bermalam bersama-sama kakaknya. 	 جنين تيدق تيدور ددالم رومه كران ممبريكن كسليساءن كڤد چندانا اونتوق برمالم برساما-سام كاكقڽ.
Perbualan mereka dari gerai, membawa ke jalanan, bersambung sehingga ke rumah Jenin. 	 ڤربوالن مريک دري ڬراي، ممباوا كجالنن، برسمبوڠ سهيڠݢ كرومه جنين.
Pemuda itu mengajak mereka bermalam di rumahnya memandangkan Nirnama, Nadim dan Cendana belum ada perancangan untuk berteduh di mana. 	 ڤمودا ايت مڠاجق مريک برمالم درومهڽ ممندڠكن نيرنام، نديم دان چندانا بلوم اد ڤرانچڠن اونتوق برتدوه دمان.
Rumah Jenin dan Jelita kecil sahaja, berada di hujung Perkampungan Buntal, agak berjauhan dari rumah penduduk yang lain. 	 رومه جنين دان جليتا كچيل سهاج، براد دهوجوڠ ڤركامڤوڠن بونتل، اڬق برجاءوهن دري رومه ڤندودوق يڠ لاءين.
Mengikut perkongsian Jenin, dia dan kakaknya merupakan yatim piatu semenjak mereka masih budak. 	 مڠيكوت ڤركوڠسين جنين، دي دان كاكقڽ مروڤاكن يتيم ڤياتو سمنجق مريک ماسيه بودق.
Mujur ayah mereka meninggalkan tapak tanah rumah ini dan sebidang tanah di persisiran pantai yang dipenuhi pokok kelapa. 	 موجور ايه مريک منيڠڬلكن تاڤق تانه رومه اين دان سبيدڠ تانه دڤرسيسيرن ڤنتاي يڠ دڤنوهي ڤوكوق كلاڤ.
Dengannya, mereka manfaatkan sebagai tempat tinggal dan tempat mencari rezeki. 	 دڠنڽ، مريک منفعتكن سباڬاي تمڤت تيڠڬل دان تمڤت منچاري رزقي.
Mereka berempat berbincang hingga lewat malam, hanya berhenti apabila kantuk sudah menyapa beberapa ketika. 	 مريک برإمڤت بربينچڠ هيڠݢ ليوات مالم، هاڽ برهنتي اڤابيلا كنتوق سوده مڽاڤ ببراڤ كتيک.
Assalamu’alaikum wa rahmatullah. 	 السلام عليكم ورحمة الله.
Assalamu’alaikum wa rahmatullah. 	 السلام عليكم ورحمة الله.
Nirnama mengusap-usap wajah. 	 نيرنام مڠوسڤ-اوسڤ واجه.
Dia berteleku sambil duduk antara dua sujud. 	 دي برتلكو سمبيل دودوق انتارا دوا سجود.
Perlahan-lahan dia menoleh ke satu arah dengan sedikit mendongak. 	 ڤرلاهن-لاهن دي منوليه كساتو اره دڠن سديكيت مندوڠاق.
Istana Santubong dapat dilihat dengan lebih jelas. 	 ايستان سنتوبوڠ داڤت دليهت دڠن لبيه جلس.
Bergemerlapan cahaya indah. 	 برݢمرلاڤن چهاي اينده.
Rakyat kebanyakan tidak pernah benar-benar melihat pemimpin mereka. 	 رعيت كباڽقن تيدق ڤرنه بنر٢ مليهت ڤميمڤين مريک.
Rata-ratanya hidup jauh dari masyarakat. 	 رات-راتڽ هيدوڤ جاءوه دري مشاركت.
Hidup senang-lenang di dalam istana yang lengkap dengan seribu satu kenikmatan. 	 هيدوڤ سنڠ-لينڠ ددالم ايستان يڠ لڠكڤ دڠن سريبو ساتو كنعمتن.
Justeru, tidak hairan andai ramai yang benar-benar menyangka bahawa Puteri Santubong dan kembarnya Puteri Sejinjang, serta seluruh keturunan mereka, merupakan insan kayangan. 	 جوسترو، تيدق حيران انداي راماي يڠ بنر٢ مڽڠک بهاوا ڤوتري سنتوبوڠ دان كمبرڽ ڤوتري سجينجڠ، سرتا سلوروه كتورونن مريک، مروڤاكن انسان كايڠن.
Bahkan, tidak sedikit yang menganggap mereka adalah bayangan Tuhan di atas muka bumi ini. 	 بهكن، تيدق سديكيت يڠ مڠڠڬڤ مريک اداله بايڠن توهن دأتس موک بومي اين.
Nirnama menggeleng perlahan. 	 نيرنام مڠڬيليڠ ڤرلاهن.
Maha Suci Allah subhanahu wa taala daripada sebarang sekutu yang seumpama-Nya. 	 مها سوچي الله سبحانه وتعالى درڤد سبارڠ سكوتو يڠ سأومڤامڽ.
Bibir terus terkumat-kamit, sambil jari-jemari bergerak mengira zikir. 	 بيبير تروس تركومت-كاميت، سمبيل جاري-جماري برڬرق مڠيرا ذيكير.
Tidak lama kemudian, dia menarik bungkusan kain yang dibawa ke sana sini, mengeluarkan sebuah mushaf lusuh. 	 تيدق لاما كمودين، دي مناريق بوڠكوسن كاءين يڠ دباوا كسان سيني، مڠلواركن سبواه مصحف لوسوه.
Mushaf itu dibukanya. 	 مصحف ايت دبوكڽ.
Hampir setiap sudut mushaf itu dipenuhi cacatan, bulatan, dan tanda-tanda tulisan. 	 همڤير ستياڤ سودوت مصحف ايت دڤنوهي چاچتن، بولتن، دان تندا٢ توليسن.
Melihat itu semua membuatkan Nirnama tersenyum seketika. 	 مليهت ايت سموا ممبواتكن نيرنام ترسڽوم سكتيک.
Apabila sampai pada halaman yang dikehendaki, dia mula membaca. 	 اڤابيلا سمڤاي ڤد هلامن يڠ دكهندقي، دي مولا ممباچ.
Perlahan, tetapi jelas. 	 ڤرلاهن، تتاڤي جلس.
Cukup untuk didengari telinganya sendiri. 	 چوكوڤ اونتوق ددڠري تليڠاڽ سنديري.
Engkau memang tidak pernah meninggalkan kebiasaan ini, bukan?  Nirnama menghentikan bacaan, menoleh ke belakang. 	 اڠكاو ميمڠ تيدق ڤرنه منيڠڬلكن كبياساءن اين، بوكن؟  نيرنام مڠهنتيكن باچان، منوليه كبلاكڠ.
Kelihatan Cendana sudah berada di luar rumah Jenin, dan bersandar di hadapan anjung. 	 كليهتن چندانا سوده براد دلوار رومه جنين، دان برسندر دهادڤن انجوڠ.
Bibir srikandi itu mengukir senyuman nipis saat pandangan mereka bertaut. 	 بيبير سريكندي ايت مڠوكير سڽومن نيڤيس ساعت ڤندڠن مريک برتاءوت.
Satu perasaan aneh menyerbu jiwa Nirnama. 	 ساتو ڤراساءن انيه مڽربو جيوا نيرنام.
Dia cepat-cepat menundukkan pandangan, menekur mushaf pada tangan, sebelum membetulkan duduk agar menghadap Cendana. 	 دي چڤت٢ منوندوقكن ڤندڠن، منكور مصحف ڤد تاڠن، سبلوم ممبتولكن دودوق اڬر مڠهادڤ چندانا.
Berapa lama engkau telah berada di situ?  Sepanjang engkau berzikir. 	 براڤ لاما اڠكاو تله براد دسيتو؟  سڤنجڠ اڠكاو برذيكير.
Apakah aku mengganggutidurmu?  Cendana menggeleng. 	 اڤاكه اكو مڠڬڠڬو تيدورمو؟  چندانا مڠڬيليڠ.
Perempuan itu berpakaian sederhana. 	 ڤرمڤوان ايت برڤاكاين سدرهان.
Masih menjaga auratnya, tetapi tidak bersama-sama selendang dan senjata-senjata yang Nirnama sendiri tidak tahu berapa banyak. 	 ماسيه منجاݢ عورتڽ، تتاڤي تيدق برساما-سام سليندڠ دان سنجات٢ يڠ نيرنام سنديري تيدق تاهو براڤ باڽق.
Namun, kecantikan asli perempuan itu tidak berkurangan sedikit pun. 	 نامون، كچنتيقن اصلي ڤرمڤوان ايت تيدق بركورڠن سديكيت ڤون.
Di balik lengan baju yang labuh, Cendana membalut dirinya dengan kain kasa sehingga ke telapak tangan. 	 دباليق لڠن باجو يڠ لابوه، چندانا ممبالوت ديريڽ دڠن كاءين كاسا سهيڠݢ كتلڤق تاڠن.
Demikian seluar yang panjangnya terhenti di atas buku lali, menzahirkan kain kasa yang membaluti seluruh kakinya. 	 دمكين سلوار يڠ ڤنجڠڽ ترهنتي دأتس بوكو لالي، منظاهيركن كاءين كاسا يڠ ممبالوتي سلوروه كاكيڽ.
Aku juga orang yang berusaha melakukan solat malam. 	 اكو جوݢ اورڠ يڠ براوسها ملاكوكن صلاة مالم.
Tetapi apabila aku ingin menyambung tidur, aku melihat ke luar jendela dan engkau masih kekal beribadah. 	 تتاڤي اڤابيلا اكو ايڠين مڽمبوڠ تيدور، اكو مليهت كلوار جنديلا دان اڠكاو ماسيه ككل برعباده.
Apakah engkau tidak mengantuk?  Aku tidur sekadarnya sahaja dan aku telah membiasakan diriku. 	 اڤاكه اڠكاو تيدق مڠنتوق؟  اكو تيدور سقدرڽ سهاج دان اكو تله ممبياساكن ديريكو.
Sejak bila engkau mula beribadah sebegini?  Aku dididik semenjak remaja. 	 سجق بيلا اڠكاو مولا برعباده سبڬيني؟  اكو دديديق سمنجق رماج.
Tetapi aku mampu melakukannya dengan sendiri semenjak 15 tahun lalu. 	 تتاڤي اكو ممڤو ملاكوكنڽ دڠن سنديري سمنجق 15 تاهون لالو.
Dididik oleh siapa?  Guruku. 	 دديديق اوليه سياڤا؟  ڬوروكو.
Siapa gurumu?  Nirnama sekadar mengukir senyuman nipis. 	 سياڤا ڬورومو؟  نيرنام سقدر مڠوكير سڽومن نيڤيس.
Cendana tersungging. 	 چندانا ترسوڠڬيڠ.
Tahu bahawa dia telah membuatkan Nirnama berbicara lebih daripada biasa. 	 تاهو بهاوا دي تله ممبواتكن نيرنام بربيچارا لبيه درڤد بياسا.
Lelaki itu jelas mahu ibadahnya tidak terganggu. 	 للاكي ايت جلس ماهو عبادهڽ تيدق ترڬڠڬو.
Tetapi dia teruja. 	 تتاڤي دي تروجا.
Aku mengintaimu sepanjang masa kita berada di atas bahtera. 	 اكو مڠينتايمو سڤنجڠ ماس كيت براد دأتس بهترا.
Di sana juga engkau kekal melakukan kebiasaan ini. 	 دسان جوݢ اڠكاو ككل ملاكوكن كبياساءن اين.
Hari ini, tatkala aku bangun, engkau telah bangun, dan kala aku mahu menyambung tidur, engkau masih beribadah. 	 هاري اين، تتكالا اكو باڠون، اڠكاو تله باڠون، دان كالا اكو ماهو مڽمبوڠ تيدور، اڠكاو ماسيه برعباده.
