A. 	 ا.
Di situ jua tersandang satu perisai panjang. 	 دسيتو جوا ترسندڠ ساتو ڤريساي ڤنجڠ.
Celaka! Dia memandang tajam ke arah Nirnama. 	 چلاک! دي ممندڠ تاجم كأره نيرنام.
Mungkin hari ini merupakan rezeki untuk aku. 	 موڠكين هاري اين مروڤاكن رزقي اونتوق اكو.
Pandangan yang berbalam-balam semakin jelas. 	 ڤندڠن يڠ بربالم-بالم سماكين جلس.
Gurunya Adiwaja dan dua kakanda seperguruan. 	 ڬوروڽ اديواج دان دوا ككندا سڤرڬوروان.
Aku bukan mahu menjadi sufi seperti Kakanda. 	 اكو بوكن ماهو منجادي صوفي سڤرتي ككندا.
Pandangan yang redup bertukar menjadi tajam. 	 ڤندڠن يڠ ردوڤ برتوكر منجادي تاجم.
Kalian terlalu mudah mempercayai yang zahir. 	 كالين ترلالو موده ممڤرچاياءي يڠ ظاهير.
Tentera Istana Sejinjang bagaikan mati akal. 	 تنترا ايستان سجينجڠ باڬايكن ماتي عقل.
Srikandi berkain litup telah berada di situ. 	 سريكندي بركاءين ليتوڤ تله براد دسيتو.
Semuanya dinikmati dengan penuh rasa syukur. 	 سمواڽ دنعمتي دڠن ڤنوه راس شكور.
Berusaha sehabis baik menjaga kesucian hati. 	 براوسها سهابيس باءيق منجاݢ كسوچين هاتي.
Tumpuannya di medan pertarungan akan tumpul. 	 تومڤوانڽ دميدن ڤرتاروڠن اكن تومڤول.
Pandangan ditebarkan kembali ke lautan luas. 	 ڤندڠن دتيبركن كمبالي كلاءوتن لواس.
Nadim mencebik, kemudian memuncungkan bibir. 	 نديم منچبيق، كمودين ممونچوڠكن بيبير.
Nirnama hanya melayan dengan senyuman nipis. 	 نيرنام هاڽ ملاين دڠن سڽومن نيڤيس.
Tetapi tujuan kita hakikatnya sama, Nirnama. 	 تتاڤي توجوان كيت حقيقتڽ سام، نيرنام.
Lembut bebola mata Sultan Mansur menatapnya. 	 لمبوت ببولا مات سلطان منصور مناتڤڽ.
Sultan Mansur tidak kelihatan resah gelisah. 	 سلطان منصور تيدق كليهتن رسه ڬليسه.
Mungkin dia belajar daripada kesilapan lalu. 	 موڠكين دي بلاجر درڤد كسيلاڤن لالو.
Khabar yang sama telah sampai kepadaku juga. 	 خبر يڠ سام تله سمڤاي كڤدكو جوݢ.
Menggeleng sambil mengurut janggut putihnya. 	 مڠڬيليڠ سمبيل مڠوروت جڠڬوت ڤوتيهڽ.
Sempat kicauan burung mencelah kesepian itu. 	 سمڤت كيچاوان بوروڠ منچله كسڤين ايت.
Sultan Mansur dan Adiwaja sama-sama tertawa. 	 سلطان منصور دان اديواج سام٢ ترتاوا.
Kedua-duanya kemudian mendakap erat Adiwaja. 	 كدوا-دواڽ كمودين منداكڤ ارت اديواج.
Tetapi kami bersembunyi daripada Jagat Suci. 	 تتاڤي كامي برسمبوڽي درڤد جاڬت سوچي.
Tangannya memanjang, menyentuh bahu Adiwaja. 	 تاڠنڽ ممنجڠ، مڽنتوه باهو اديواج.
Apakah itu bukan sakti?  Cendana menggeleng. 	 اڤاكه ايت بوكن سقتي؟  چندانا مڠڬيليڠ.
Tetapi nampaknya Nirnama berterusan menolak. 	 تتاڤي نمڤقڽ نيرنام برتروسن منولق.
Amiiin! Nadim dan Cendana serentak bersuara. 	 امين! نديم دان چندانا سرنتق برسوارا.
Budak nakal itu tidak lagi berpakaian lusuh. 	 بودق ناكل ايت تيدق لاڬي برڤاكاين لوسوه.
Kita wajar menghadap tuanku terlebih dahulu. 	 كيت واجر مڠهادڤ توانكو ترلبيه دهولو.
Nirnama, Cendana dan Nadim terkaku sebentar. 	 نيرنام، چندانا دان نديم تركاكو سبنتر.
Pandangannya daripada dingin bertukar tajam. 	 ڤندڠنڽ درڤد ديڠين برتوكر تاجم.
Seterusnya, untuk menjaga kebersihan hatiku. 	 ستروسڽ، اونتوق منجاݢ كبرسيهن هاتيكو.
Tuanku Sultan Mahmud begitu mahu merapatiku. 	 توانكو سلطان محمود بڬيتو ماهو مراڤتيكو.
Nirnama melayarkan pandangan ke langit luas. 	 نيرنام ملايركن ڤندڠن كلاڠيت لواس.
Ya, begitu harum! Cendana akhirnya bersuara. 	 يا، بڬيتو هاروم! چندانا اخيرڽ برسوارا.
Nirnama, Tuha dan Jebat saling berpandangan. 	 نيرنام، توها دان جبت ساليڠ برڤندڠن.
Tuha berdehem, menghentikan perbualan semua. 	 توها بردهيم، مڠهنتيكن ڤربوالن سموا.
Tegas suara Tuha tetapi tetap bernada hemah. 	 تڬس سوارا توها تتاڤي تتڤ برنادا هيمه.
Tangan kanan telah diletakkan di atas keris. 	 تاڠن كانن تله دلتقكن داتس كريس.
Wajahnya jelas tegang dan mempamerkan murka. 	 واجهڽ جلس تڬڠ دان ممڤاميركن مورک.
Tuanku disibukkan oleh Puteri Gunung Ledang. 	 توانكو دسيبوقكن اوليه ڤوتري ڬونوڠ ليدڠ.
Lihat, beginilah sepatutnya kalian bersikap. 	 ليهت، بڬينيله سڤاتوتڽ كالين برسيكڤ.
Adapun Nirnama, dia tidak mengangkat sembah. 	 اداڤون نيرنام، دي تيدق مڠڠكت سمبه.
Sempat dia mendengar dengusan daripada Tuha. 	 سمڤت دي مندڠر دڠوسن درڤد توها.
Dia bangkit dan mengatur kembali pernafasan. 	 دي بڠكيت دان مڠاتور كمبالي ڤرنفسن.
Cendana sedang berlari-lari anak ke arahnya. 	 چندانا سدڠ برلاري-لاري انق كأرهڽ.
Kerana itu dia meminta izin untuk berkelana. 	 كران ايت دي ممينتا ايذين اونتوق بركلان.
Telinganya mula menangkap bunyi deburan air. 	 تليڠاڽ مولا منڠكڤ بوڽي دبورن اءير.
Muncul Adiwaja yang meluru dengan tendangan. 	 مونچول اديواج يڠ ملورو دڠن تندڠن.
Kelanamu telah memperhebatkan seni tarungmu. 	 كلانمو تله ممڤرهيبتكن سني تاروڠمو.
Alauddin berbicara sambil mendengus sedikit. 	 علاءالدين بربيچارا سمبيل مندڠوس سديكيت.
Tetapi bukan begitu tujuan Islam diturunkan. 	 تتاڤي بوكن بڬيتو توجوان إسلام دتورونكن.
Mengambil harta rampasan perang apabila ada. 	 مڠمبيل هرتا رمڤسن ڤرڠ اڤابيلا اد.
Rambut panjang melepasi bahu menyentuh dada. 	 رمبوت ڤنجڠ ملڤسي باهو مڽنتوه دادا.
Jin yang bersama dengan daku bukan jin baru. 	 جين يڠ برسام دڠن داكو بوكن جين بارو.
Engkau mungkin mati akal untuk menghadapiku. 	 اڠكاو موڠكين ماتي عقل اونتوق مڠهادڤيكو.
Sang Kelembai melurutkan kain pada wajahnya. 	 سڠ كلمباي ملوروتكن كاءين ڤد واجهڽ.
Dedaunan yang berterbangan memenuhi suasana. 	 دداونان يڠ برتربڠن ممنوهي سواسان.
Sedang aku pula masih memandang dengan mata. 	 سدڠ اكو ڤولا ماسيه ممندڠ دڠن مات.
Perkampungan itu akan menjadi sajian mereka. 	 ڤركامڤوڠن ايت اكن منجادي ساجين مريک.
Engkau hanya manusia biasa, Nirnama!  Benar. 	 اڠكاو هاڽ ماءنسي بياسا، نيرنام!  بنر.
Beta tidak lagi boleh terima sikap sebegini. 	 بيت تيدق لاڬي بوليه تريما سيكڤ سبڬيني.
Ayuh!  Taming Sari pada pinggang dicabutnya. 	 ايوه!  تاميڠ ساري ڤد ڤيڠڬڠ دچابوتڽ.
Nirnama bersuara, mematikan langkahan Jebat. 	 نيرنام برسوارا، مماتيكن لڠكهن جبت.
Dia menghantar Jebat pergi dengan pandangan. 	 دي مڠهنتر جبت ڤرڬي دڠن ڤندڠن.
Engkau hanya berkuasa sepanjang ketiadaanku. 	 اڠكاو هاڽ بركواس سڤنجڠ كتياداءنكو.
Alauddin memandang kembali kepada adindanya. 	 علاءالدين ممندڠ كمبالي كڤد ادينداڽ.
Lelaki berparut itu mengukir senyuman lebar. 	 للاكي برڤاروت ايت مڠوكير سڽومن ليبر.
Tangan kanan puteri itu menembusi dada Tuha. 	 تاڠن كانن ڤوتري ايت منمبوسي دادا توها.
Kemudian mereka sama-sama memandang Adiwaja. 	 كمودين مريک سام٢ ممندڠ اديواج.
Tidak lama kemudian, Adiwaja menghela nafas. 	 تيدق لاما كمودين، اديواج مڠهيلا نفس.
Tuha dan Puteri Gunung Ledang telah tumbang. 	 توها دان ڤوتري ڬونوڠ ليدڠ تله تومبڠ.
Jagat Suci ketawa dan terus membuka langkah. 	 جاڬت سوچي كتاوا دان تروس ممبوک لڠكه.
Dia berada beberapa depa di hadapan Adiwaja. 	 دي براد ببراڤ دڤا دهادڤن اديواج.
Engkau tidak akan aku seksa sedemikian rupa. 	 اڠكاو تيدق اكن اكو سيقسا سدميكين روڤا.
Tanah tempat Adiwaja berdiri bergegar hebat. 	 تانه تمڤت اديواج برديري برڬڬر هيبت.
Dia sendiri terhenti di tengah-tengah udara. 	 دي سنديري ترهنتي دتڠه-تڠه اودارا.
Tersenyum Nirnama dengan bicara sang puteri. 	 ترسڽوم نيرنام دڠن بيچارا سڠ ڤوتري.
Muhammad Jenin merupakan calon yang terbaik. 	 محمد جنين مروڤاكن چالون يڠ ترباءيق.
Puteri Sejinjang memandang Puteri Santubong. 	 ڤوتري سجينجڠ ممندڠ ڤوتري سنتوبوڠ.
Tubuhnya luka-luka, tetapi diabaikan sahaja. 	 توبوهڽ لوک٢، تتاڤي دأبايكن سهاج.
Nadim mengetuk lembut telunjuk ke sisi dahi. 	 نديم مڠتوق لمبوت تلونجوق كسيسي داهي.
Satu sapaan membuatkan kedua-duanya menoleh. 	 ساتو ساڤءن ممبواتكن كدوا-دواڽ منوليه.
Demikian kebanyakan rakyat Sekebun Serendah. 	 دمکين كباڽقن رعيت سكبون سرنده.
Cendana melemparkan pandangan ke sekeliling. 	 چندانا مليمڤركن  ڤندڠن كسكليليڠ.
Semua diam, langsung tidak berkutik apa-apa. 	 سموا ديام، لڠسوڠ تيدق بركوتيق اڤ٢.
Kasturi pula berdiri pada arah bertentangan. 	 كستوري ڤولا برديري ڤد اره برتنتاڠن.
Kedua-dua lelaki itu dirapatkan ke tubuhnya. 	 كدوا-دوا للاكي ايت دراڤتكن كتوبوهڽ.
Kita akan bersama-sama memenuhi tujuan kita. 	 كيت اكن برساما-سام ممنوهي توجوان كيت.
Nirnama menyebut ayat ke-15 Surah Saba’ itu. 	 نيرنام مڽبوت ايات ك-15 سورة السباء ايت.
Dia sudah aku anggap sebagai bapaku sendiri. 	 دي سوده اكو اڠڬڤ سباڬاي باڤكو سنديري.
Ayam itu memang cantik dan kelihatan garang. 	 ايم ايت ميمڠ چنتيق دان كليهتن ڬارڠ.
Nadim mengangguk dan menghela nafas panjang. 	 نديم مڠڠڬوق دان مڠهيلا نفس ڤنجڠ.
Terima kasih atas segala kebaikan Pak Kaduk. 	 تريما كاسيه اتس سڬالا كباءيقن ڤق كادوق.
Ahli sihir itu sedang bersila di sebelahnya. 	 اهلي سيحير ايت سدڠ برسيلا دسبلهڽ.
Nujum Surya kembali memandang pemerintahnya. 	 نجوم سوريا كمبالي ممندڠ ڤمرينتهڽ.
Pak Kaduk lebih mengetahui urusan Pak Kaduk. 	 ڤق كادوق لبيه مڠتاهوءي اوروسن ڤق كادوق.
Hidup kena berani!  Nirnama hanya tersenyum. 	 هيدوڤ كنا براني!  نيرنام هاڽ ترسڽوم.
Pak Kaduk, engkau tidak wajar berfikir lagi. 	 ڤق كادوق، اڠكاو تيدق واجر برفيكير لاڬي.
Hingga salah satu daripada mereka terkorban. 	 هيڠݢ ساله ساتو درڤد مريک ترقربان.
Pak Kaduk pula kelihatan teruja dan seronok. 	 ڤق كادوق ڤولا كليهتن تروجا دان سرونوک.
Si Putih Mata bagaikan kehilangan hala tuju. 	 سي ڤوتيه مات باڬايكن كهيلڠن هالا توجو.
Terus terpapar tubuhnya yang sedikit gendut. 	 تروس ترڤاڤر توبوهڽ يڠ سديكيت ڬندوت.
Perkarangan istana itu bertukar riuh-rendah. 	 ڤركارڠن ايستان ايت برتوكر ريوه-رنده.
Masing-masing hanya memikirkan diri sendiri. 	 ماسيڠ٢ هاڽ مميكيركن ديري سنديري.
Dan engkau, budak, aku tahu, bukan pendekar. 	 دان اڠكاو، بودق، اكو تاهو بوكن سأورڠ ڤنديكر.
Segera Nadim merapatkan diri kepada Nirnama. 	 سڬرا نديم مراڤتكن ديري كڤد نيرنام.
Senjata itu bertembung dengan sebilah keris. 	 سنجات ايت برتمبوڠ دڠن سبيله كريس.
Tetapi dengan dunia juga, kita berpada-pada. 	 تتاڤي دڠن دنيا جوݢ، كيت برڤد-ڤد.
Aku memerlukan lebih masa berbanding guruku. 	 اكو ممرلوكن لبيه ماس بربنديڠ ڬوروكو.
Selayaknya pemimpin yang baik itu dihormati. 	 سلايقڽ ڤميمڤين يڠ باءيق ايت دحرمتي.
Alauddin memandang Jebat, Kasturi dan Jenin. 	 علاءالدين ممندڠ جبت، كستوري دان جنين.
Saat kematiannya, aku tidak pergi menjenguk. 	 ساعت كماتينڽ، اكو تيدق ڤرڬي منجڠوق.
Pandangan Alauddin ditebarkan ke sekeliling. 	 ڤندڠن علاءالدين دتيبركن كسكليليڠ.
Tetapi pandangannya tajam memaku Jagat Suci. 	 تتاڤي  ڤندڠنڽ تاجم مماكو جاڬت سوچي.
Kemenangan hari ini akan menjadi milik kita. 	 كمنڠن هاري اين اكن منجادي ميليق كيت.
Kakinya mulai jauh daripada menyentuh tanah. 	 كاكيڽ مولاءي جاءوه درڤد مڽنتوه تانه.
Nirnama dan Nadim mendapatkan mereka berdua. 	 نيرنام دان نديم منداڤتكن مريک بردوا.
Sultan Mansur berdiri di hadapan Jagat Suci. 	 سلطان منصور برديري دهادڤن جاڬت سوچي.
Lelaki tua itu kemudian menoleh ke belakang. 	 للاكي توا ايت كمودين منوليه كبلاكڠ.
Yakinilah apa yang terlihat di hadapan mata. 	 يقينيله اڤ يڠ ترليهت دهادڤن مات.
Keris Sultan Mansur kemudian muncul kembali. 	 كريس سلطان منصور كمودين مونچول كمبالي.
Terus dia menanduk hulu kerisnya ke hadapan. 	 تروس دي منندوق هولو كريسڽ كهادڤن.
Setakat ini, hajat itu masih belum tercapai. 	 ستاكت اين، حاجة ايت ماسيه بلوم ترچاڤاي.
Adindanya kini hanya bergelar Tengku Mahmud. 	 ادينداڽ كيني هاڽ برڬلر تڠكو محمود.
Ratu Santubong tidak lekang dengan senyuman. 	 راتو سنتوبوڠ تيدق لكڠ دڠن سڽومن.
Sekumpulan wanita dilihat berkumpul di situ. 	 سكومڤولن وانيتا دليهت بركومڤول دسيتو.
Cendana tunduk malu sambil tersenyum-senyum. 	 چندانا توندوق مالو سمبيل ترسڽوم-سڽوم.
Pergilah kepada isterimu yang sah itu, Tuah. 	 ڤرڬيله كڤد استريمو يڠ ساه ايت، تواه.
Sehingga tiada lagi api yang menjilati rumah. 	 سهيڠݢ تياد لاڬي اڤي يڠ منجيلتي رومه.
Tubuhnya terangkat sekitar sehasta dari bumi. 	 توبوهڽ ترڠكت سكيتر سهستا دري بومي.
Satu dua tiga lekuk, jantan betina aku ketuk. 	 ساتو دوا تيݢ لكوق، جنتن بتينا اكو كتوق.
Apa yang sedang berlaku?  Dia berasa terhina. 	 اڤ يڠ سدڠ برلاكو؟  دي براس ترهينا.
Lelaki tampan tadi memanjangkan tangan kanan. 	 للاكي تمڤن تادي ممنجڠكن تاڠن كانن.
Lelaki itu kemudian bangkit daripada silanya. 	 للاكي ايت كمودين بڠكيت درڤد سيلاڽ.
Rimbunan daun pada pepohonan pula berguguran. 	 ريمبونن داوءن ڤد ڤڤوهونن ڤولا برڬوڬورن.
Tubuhnya terangkat sekitar sehasta dari bumi. 	 توبوهڽ ترڠكت سكيتر سهستا دري بومي.
Nirnama tidak menanti, turut membuka langkah. 	 نيرنام تيدق مننتي، توروت ممبوک لڠكه.
Daun-daun berterbangan menjauhi kedua-duanya. 	 داءون٢ برتربڠن منجاءوهي كدوا-دواڽ.
Tingkat tiga merupakan tempat para pendayung. 	 تيڠكت تيݢ مروڤاكن تمڤت ڤارا ڤندايوڠ.
Peluang yang sama terbentang di hadapan kita. 	 ڤلواڠ يڠ سام تربنتڠ دهادڤن كيت.
Kita cuba lagi! Damar cuba membakar semangat. 	 كيت چوبا لاڬي! دامر چوبا ممباكر سماڠت.
Setiap langkahnya semakin lama semakin berat. 	 ستياڤ لڠكهڽ سماكين لاما سماكين برت.
Banyak kisah telah kita dengar berkenaan dia. 	 باڽق قيصه تله كيت دڠر بركناءن دي.
Tetapi kita bertuah, tuan-tuan dan puan-puan. 	 تتاڤي كيت برتواه، توان٢ دان ڤوان٢.
Untuk menewaskan engkau?  Nirnama mengangguk. 	 اونتوق منيواسكن اڠكاو؟  نيرنام مڠڠڬوق.
Nirnama akhirnya mengalah, membiarkan sahaja. 	 نيرنام اخيرڽ مڠاله، ممبياركن سهاج.
Masing-masing sibuk menguruskan diri sendiri. 	 ماسيڠ٢ سيبوق مڠوروسكن ديري سنديري.
Dia mahu lebih mengenali lelaki berparut ini. 	 دي ماهو لبيه مڠنالي للاكي برڤاروت اين.
